Script started on 2025-11-15 13:38:29+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
 1501513    13587    16037   99.10%           32       4733
 1467916    11164    14755   99.25%           32       4755
 1454885    12209    16168   99.17%           32       4850
 1384123    51330    14968   96.42%           32       4644
 1434622    18275    15388   98.74%           32       4694
 1442426    13074    15924   99.10%           32       4791
 1441199    11455    15369   99.21%           32       4815
 1436059    11531    15488   99.20%           32       4840
 1366195    52641    15231   96.29%           32       4703
 1404847    16849    14649   98.81%           32       4747
 1454959    12824    15718   99.13%           32       4842
 1426724    11129    14981   99.23%           32       4864
 1437811    11407    15698   99.21%           32       4953
 1364238    40478     5504   97.12%           32       4666
 1427533     9451     5665   99.34%           32       4709
 1421918     2849     5688   99.80%           32       4725
 1434427     1666     5931   99.88%           32       4737
 1398785     4153     8247   99.70%           32       4769
 1280857    49708    43181   96.26%           32       4637
 1572141    30306     5391   98.11%           32       4761
 1648450     2310     5422   99.86%           32       4774
 1619270     1312     5447   99.92%           32       4785
 1616322     1285     5550   99.92%           32       4795
 1596920     1285     5498   99.92%           32       4805
 1628010     1314     5655   99.92%           32       4815
 1624465     1283     5557   99.92%           32       4825
 1623444     1288     5556   99.92%           32       4835
 1610042     1246     5345   99.92%           32       4845
 1610738     1278     5469   99.92%           32       4855
 1608110     1315     5645   99.92%           32       4865
 1628416     1237     5332   99.92%           32       4874
 1596597     1293     5560   99.92%           32       4885
 1579627     1293     5548   99.92%           32       4895
 1587378     1278     5512   99.92%           32       4905
 1576299     1312     5654   99.92%           32       4915
 1586019     1266     5490   99.92%           32       4925
 1584037     1292     5606   99.92%           32       4935
 1568226     1234     5344   99.92%           32       4945
 1565156     1256     5442   99.92%           32       4955
 1559650     1263     5501   99.92%           32       4965
 1588604     1246     5453   99.92%           32       4974
 1577652     1302     5607   99.92%           32       4984
 1568111     1290     5565   99.92%           32       4994
 1572555     1304     5579   99.92%           32       5005
 1554130     1240     5342   99.92%           32       5014
 1562547     1260     5430   99.92%           32       5024
 1579394     1303     5598   99.92%           32       5034
 1572854     1296     5569   99.92%           32       5045
 1567045     1267     5472   99.92%           32       5055
 1531780    15303    19514   99.01%           32       5174
 1437523    75518    39628   95.01%           32       5132
 1706502    29724    32552   98.29%           32       5232
 1727506    31335    35076   98.22%           32       5412
 1665597    29820    33374   98.24%           32       5516
 1686477    30613    34028   98.22%           32       5624
 1676138    33138    37078   98.06%           32       5754
 1601391    32617    36177   98.00%           32       5879
 1473240   145805    22985   90.99%           32       4950
 1466918    71232    15404   95.37%           32       5215
 1536370    20635    14829   98.67%           32       5274
 1573909    12832    15116   99.19%           32       5303
 1537177    12107    15900   99.22%           32       5396
 1487020    40674    15142   97.34%           32       5148
 1505245    27630    15951   98.20%           32       5303
 1518720    14153    15163   99.08%           32       5337
 1534052    11778    15365   99.24%           32       5362
 1540512    11841    15894   99.24%           32       5454
 1523762    10944    15056   99.29%           32       5475
 1525325    11598    15783   99.25%           32       5566
 1428950    61822    14658   95.85%           32       5270
 1505956    22452    15184   98.53%           32       5336
 1481502    14354    16177   99.04%           32       5440
 1493014    11675    15325   99.22%           32       5464
 1482782    14034    15170   99.06%           32       5395
 1419353    48573    15826   96.69%           32       5348
 1448925    18737    15118   98.72%           32       5400
 1467251    13357    16024   99.10%           32       5499
 1459231    11804    15449   99.20%           32       5526
 1438283    23889    15053   98.37%           32       5212
 1433765    41327    16177   97.20%           32       5420
 1461040    16636    14981   98.87%           33       5463
 1438392    12961    15962   99.11%           33       5560
 1397815    29930     8344   97.90%           33       5371
 1293444    56716    43471   95.80%           33       5266
 1609931    30321     5425   98.15%           33       5390
 1661943     2933     5528   99.82%           33       5406
 1641739     1441     5412   99.91%           33       5417
 1648256     1286     5440   99.92%           33       5427
 1642998     1275     5476   99.92%           33       5437
 1653593     1303     5627   99.92%           33       5447
 1668088     1281     5462   99.92%           33       5457
 1642814     1261     5330   99.92%           33       5467
 1635215     1264     5416   99.92%           33       5477
 1626714     1271     5432   99.92%           33       5487
 1655637     1262     5443   99.92%           33       5496
 1640524     1274     5457   99.92%           33       5506
 1653599     1283     5547   99.92%           33       5516
 1633575     1276     5549   99.92%           33       5526
 1626339     1247     5338   99.92%           33       5536
 1627781     1299     5574   99.92%           33       5546
 1644017     1295     5570   99.92%           33       5556
 1639913     1264     5488   99.92%           33       5566
 1635604     1273     5483   99.92%           33       5576
 1618888     1267     5455   99.92%           33       5586
 1600861     1231     5294   99.92%           33       5596
 1619480     1291     5543   99.92%           33       5606
 1591754     1219     5283   99.92%           33       5615
 1634268     1282     5545   99.92%           33       5625
 1612507     1253     5445   99.92%           33       5635
 1597977     1286     5491   99.92%           33       5645
