Script started on 2025-11-15 12:43:10+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
 1681930     1995     9285   99.88%           78       6144
 1651213     1317     8702   99.92%           78       6157
 1658297     1183     8613   99.93%           78       6169
 1669105     1933     8923   99.88%           78       6184
 1645547     1205     8671   99.93%           78       6196
 1681281     1286     9081   99.92%           78       6209
 1635268     1444     8725   99.91%           78       6222
 1633791     1212     8576   99.93%           78       6235
 1701127     1209     8378   99.93%           78       6247
 1631122       93     9921   99.99%           78       6260
 1658641        0    10734  100.00%           78       6273
 1618143        0    10005  100.00%           78       6285
 1616121        0     9471  100.00%           78       6297
 1692475     1325    12346   99.92%           79       6314
 1611026     1233     8241   99.92%           79       6327
 1651925     1556     8649   99.91%           79       6340
 1614346     1200     8372   99.93%           79       6353
 1616810     1256     8551   99.92%           79       6365
 1655699     1498     8561   99.91%           79       6378
 1610016     1440     8371   99.91%           79       6392
 1628487     1478     8639   99.91%           79       6405
 1602448     1374     8438   99.91%           79       6418
 1596752     1185     8584   99.93%           79       6430
 1634415     1326     8644   99.92%           79       6443
 1589392     1215     8533   99.92%           79       6455
 1636741     1218     8749   99.93%           79       6467
 1586112     1204     8621   99.92%           79       6479
 1598329     1249     8782   99.92%           79       6492
 1611281     5035    12134   99.69%           79       6534
 1462799    36821    43999   97.54%           79       6824
 1564413    61281    37229   96.23%           79       6629
 1755440    27511    35960   98.46%           79       6788
 1665658    26876    34415   98.41%           79       6875
 1744323    26757    34177   98.49%           79       6959
 1746959    27926    35649   98.43%           79       7118
 1704234    26923    34236   98.44%           79       7204
 1695619    30343    36904   98.24%           79       7377
 1569264    57352    35058   96.47%           79       7017
  969489   137463    41918   87.58%           79       6587
 1481285    45163    25566   97.04%           79       6752
 1567996    17143    20197   98.92%           79       6867
 1505932    35071    20699   97.72%           79       6728
 1592051    18197    19155   98.87%           79       6780
 1566235    12390    18595   99.22%           79       6875
 1600165    11100    18180   99.31%           79       6899
 1560285    11248    18475   99.28%           79       6989
 1505344    44219    21824   97.15%           79       6758
 1506976    23794    20146   98.45%           79       6900
 1553672    13025    17807   99.17%           79       6931
 1569384    11290    18061   99.29%           79       6955
 1524572    11550    18585   99.25%           79       7047
 1552823    10644    17922   99.32%           79       7068
 1531183    11897    18776   99.23%           79       7161
 1525311    10839    17754   99.29%           79       7183
 1540888    19568    18656   98.75%           79       7054
 1370015    66346    26242   95.38%           79       6918
 1490767    19268    22386   98.72%           79       6987
 1497064    12351    20401   99.18%           79       7088
 1577407    11169    21541   99.30%           79       7116
 1493467    11502    18127   99.24%           79       7208
 1488546    11204    17788   99.25%           79       7232
 1429504    31209    19082   97.86%           79       6820
 1305238    81322    56844   94.13%           79       7324
 1367712    59986    35202   95.80%           79       7089
 1672235    17431    20683   98.97%           79       7206
 1648369    11228    17738   99.32%           79       7229
 1706799    11023    17696   99.36%           79       7251
 1669342    11652    18834   99.31%           79       7344
 1661851    34403    17529   97.97%           79       6932
 1609260    31535    12423   98.08%           79       7067
 1680571     7309     9765   99.57%           79       7105
 1660900     3445     9140   99.79%           79       7127
 1710979     1638     9107   99.90%           79       7141
 1661196     1279     8517   99.92%           79       7153
 1649775     1445     8842   99.91%           79       7167
 1696704     1218     8936   99.93%           79       7179
 1659633        0    10502  100.00%           79       7191
 1706256        0    10732  100.00%           79       7205
 1673075        0     9893  100.00%           79       7217
 1645726        0     9658  100.00%           79       7229
 1687226      181     9775   99.99%           79       7241
 1659737     1424    11950   99.91%           79       7258
 1682527     1262     8571   99.93%           79       7271
 1626645     1500     8286   99.91%           79       7285
 1656535     1253     8567   99.92%           79       7297
