Linux 5.15.0 (noslab-gpu) 	11/20/2025 	_x86_64_	(40 CPU)

01:08:27 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:08:30 PM   19    3.00    0.00   68.00    0.00    0.00    0.00    0.00    0.00    0.00   29.00
01:08:30 PM   20    2.94    0.00   94.12    0.00    0.00    0.00    0.00    0.00    0.00    2.94
01:08:30 PM   21    2.00    0.00   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:30 PM   22    1.01    0.00   98.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:30 PM   23    2.00    0.00   89.00    0.00    0.00    0.00    0.00    0.00    0.00    9.00
01:08:30 PM   24    6.06    0.00   92.93    0.00    0.00    0.00    0.00    0.00    0.00    1.01
01:08:30 PM   25    1.00    0.00   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:30 PM   26    0.99    0.00   99.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:30 PM   27    0.99    0.00   98.02    0.00    0.00    0.00    0.00    0.00    0.00    0.99
01:08:30 PM   28    2.00    0.00   96.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
01:08:30 PM   29    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:30 PM   30   15.15    0.00   51.52    0.00    0.00    0.00    0.00    0.00    0.00   33.33
01:08:30 PM   31    6.06    0.00   67.68    0.00    0.00    0.00    0.00    0.00    0.00   26.26
01:08:30 PM   32   18.18    0.00   63.64    0.00    0.00    0.00    0.00    0.00    0.00   18.18
01:08:30 PM   33   12.00    0.00   65.00    0.00    0.00    0.00    0.00    0.00    0.00   23.00
01:08:30 PM   34    6.00    0.00   68.00    0.00    0.00    0.00    0.00    0.00    0.00   26.00
01:08:30 PM   35    4.95    0.00   76.24    0.00    0.00    0.00    0.00    0.00    0.00   18.81
01:08:30 PM   36    4.04    0.00   74.75    0.00    0.00    0.00    0.00    0.00    0.00   21.21
01:08:30 PM   37    2.04    0.00   75.51    0.00    0.00    0.00    0.00    0.00    0.00   22.45
01:08:30 PM   38    4.00    0.00   79.00    0.00    0.00    0.00    0.00    0.00    0.00   17.00
01:08:30 PM   39    1.00    0.00   73.00    0.00    0.00    0.00    0.00    0.00    0.00   26.00

01:08:30 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:08:31 PM  all    3.89    0.00   82.57    0.00    0.00    0.00    0.00    0.00    0.00   13.54
01:08:31 PM    0    3.00    0.00   97.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
